번호,서명,저자,출판사,출판년
207,책상위의 태양,미하일 일리인 글 ; 박수현 옮김,아이세움,2007
208,고양이 레옹은 서커스가 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
209,고양이 레옹은 농장이 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
210,고양이 레옹은 집이 좋아요,프랑수아즈 라신 글. 그림 ; 양진희 옮김,교학사,2004
211,(고사리손)요리책,배영희 지음 ; 정유정 그림,길벗어린이,2007
212,코코는 화가 났어요,카렌 판 홀스트 펠레칸 글 ; 페라 드 바커르 그림 ; 이은석 옮김,문학동네,2002
213,율리와 괴물,크리스턴 보우에 글 ; 유타 바우어 그림 ; 카테리나 스티그리츠 옮김,문학동네,2007
214,"폭력, 저리 가!. 3 : 지렁이와 새",실비 지라르데 지음 ; 퓌그 로사도 그림 ; 최정수 옮김,문학동네어린이,2000
215,빨간 고양이 마투,에릭 바튀 글.그림 ; 최정수 옮김,문학동네어린이,2007
216,씨앗을 심었어요,도미니크 매 글.그림 ; 염미희 옮김,문학동네어린이,2002
217,우리 같이 놀래,도미니크 매 글.그림 ; 염미희 옮김,문학동네어린이,2002
218,좋아 질것 같아,이모토 요코 글.그림 ; 변은숙 옮김,문학동네어린이,2008
219,빨간 구두,이머 드로스 글 ; 하리 겔렌 그림 ; 이지연 옮김,베틀북,2002
220,"엄마, 공주옷 입을래요",도리스 되리 글 ; 율리아 케르겔 그림 ; 김미영 옮김,베틀북,2007
221,학교 안 갈 거야,토니 로스 글.그림 ; 양희진 옮김,베틀북,2007
222,나도 태워줘,이태수 세밀화 ; 변정연 그림,보리,2008
223,이것 좀 봐,이태수 세밀화 ; 차정인 그림,보리,2008
224,꼭꼭 숨어라,이태수 세밀화 ; 박영신 그림,보리,2007
225,냠냠 짭짭,이태수 세밀화 ; 서은영 그림,보리,2007
226,이게 뭐야,이태수 세밀화 ; 최호철 그림,보리,2007
227,미꾸리는 길어,이태수 세밀화 ; 박경진 그림,보리,2008
228,꽉 찼잖아！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
229,꽉 찼잖아！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
230,안 보이네！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
231,엄마를 내다 버릴 테야,마사 알렉산더 지음 ; 서남희 옮김,보림,2008
232,왜 따라왔어！,오드레이 푸시에 지음 ; 박정연 옮김,보림,2007
233,"잘했어, 베니!",바르브루 린드그렌 글 ; 울루프 란드스트룀 그림 ; 최선경 옮김,보림,2004
234,콩콩이는 오늘따라 공차기도 재미없습니다,최준식 글. 그림,보림,2002
235,토끼와 거북이,라 퐁테느 글 ; 브라이언 와일드스미스 그림 ; 우순교 옮김,보림,2007
236,호랑이 잡은 피리,강무홍 글 ; 김달성 그림,보림,2007
237,구두 발자국,김홍모 글.그림,북스,2008
238,나 하나로는 부족해,피터 H. 레이노즈 글·그림 ; 조세현 옮김,비룡소,2007
239,나랑 친구 할래,크리스틴 A. 애덤스 글 ; R. W. 앨리 그림 ; 노은정 옮김,비룡소,2008
240,사과나무,E. 페티슈카 글 ; H. 즈마틀리코바 그림 ; 권재일 옮김,비룡소,2001
241,색깔을 훔치는 마녀,이문영 글 ; 이현정 그림,비룡소,2007
242,이상한 화요일,데이비드 위즈너 글.그림,비룡소,2008
243,자작나무 마을 이야기,알로이스 카리지에 글. 그림 ; 박민수 옮김,비룡소,2007
244,쥐돌이와 팬케이크,나카에 요시오 글 ; 우에노 노리코 그림 ; 고향옥 옮김,비룡소,2007
245,창문으로 넘어온 선물,고미 타로 글. 그림 ; 이종화 옮김,비룡소,2007
246,코를 킁킁,루스 크라우스 글 ; 마크 사이먼트 그림 ; 고진하 옮김,비룡소,2007
247,털털털 굴삭기,정하섭 글 ; 한병호 그림,비룡소,2008
248,깜짝 놀라게 될 걸！,크리스티앙 기보 글.그림 ; 김소연 옮김,삐아제어린이,2007
249,그림 속 그림찾기 ㄱㄴㄷ,이상교 동시 ; 안윤모...[등]그림,사계절출판사,2007
250,낳으실 제 괴로움 다 잊으시고,이상희 글 ; 곽영권 그림,사계절,2007
251,백구,김민기 지음 ; 권문희 그림,사계절,2008
252,설빔,배현주 글.그림,사계절출판사,2008
253,설빔,배현주 글.그림,사계절,2008
254,"아가야, 안녕",제니 오버렌드 글 ; 줄리 비바스 그림 ; 김장성 옮김,사계절,2008
255,"아빠, 꽃밭 만들러 가요",송언 글 ; 한지희 그림,사계절,2007
256,암소 로자의 살빼기 작전,크리스텔 데무아노 글. 그림 ; 유정림 옮김,사계절,2007
257,풀꽃안녕,신혜은 글 ; 정유정 그림,사계절,2008
258,꽁지 닷 발 주둥이 닷 발,이상희 글 ; 조은희 그림,시공주니어,2006
259,누군가가 있나봐,고미 타로 그림.글 ; 한수연 옮김,시공주니어,2006
260,보물,유리 슐레비츠 글.그림 ; 최순희 옮김,시공주니어,2008
261,사계절,존 버닝햄 글. 그림 ; 박철주 옮김,시공주니어,2008
262,아주아주 많은 달,제임스 서버 글 ; 루이스 슬로보드킨 그림 ; 황경주 옮김,시공주니어,2008
263,알과 암탉,옐라 마리 ; 엔조 마리 [공]그림 ; [시공주니어 편집부 옮김],시공주니어,2008
264,엄마를 찾아 주세요 ; 한별이를 찾아 주세요,호박별 글 ; 임소연 그림,시공주니어,2008
265,커다란 순무,알릭셰이 톨스토이 글 ; 헬린 옥슨버리 그림 ; 박향주 옮김,시공주니어,2008
266,행복을 전하는 편지,안소니 프랑크 글 ; 티파니 비키 그림 ; 최순희 옮김,시공주니어,2007
267,화물 열차,도널드 크루즈 글.그림 ; 박철주 옮김,시공주니어,2008
268,생쥐하고 영화보러 간다면...,로라 너머로프 글 ; 펠리시아 본드 그림 ; 김서정 옮김,킨더랜드,2007
269,꼬마 한스가 혼자 되었어,베르너 홀츠바르트 글 ; 크리스티나 브레츠슈나이더 그림 ; 엄혜숙 옮김,아이세움,2002
270,"도와 줘, 헨리！",루스 브라운 글.그림 ; 이경혜 옮김,아이세움,2006
271,어두운 집은 무서워,베르너 홀츠바르트 글 ; 크리스티나 브레츠슈나이더 그림 ; 엄혜숙 옮김,아이세움,2002
272,여우와 토끼가 잘 자라고 말할 때,카트린 섀러 글.그림 ; 고은정 옮김,예림당,2008
273,먹보씨,로저 하그리브스 지음 ; 유연희 옮김,오스카,2008
274,재채기씨,로저 하그리브스 지음 ; 유연희 옮김,오스카,2008
275,코끼리가 최고야,허은미 글 ; 오정택 그림,웅진주니어,2007
276,하마는 엉뚱해,허은실 글 ; 윤정주 그림,웅진주니어,2004
277,"후유, 깜짝 놀랐네",조 신타 글.그림 ; 햇살과 나무꾼 옮김,웅진다책,2008
278,에네스토,요헨 슈투어만 글.그림 ; 임정은 옮김,다다북스,2006
279,"안 돼, 말리!",존 그로건 지음 ; 리처드 코드리 그림 ; 임미경 옮김,주니어랜덤,2007
280,유치원에 처음 가는 날,코린 드레퓌스 지음 ; 나탈리 슈 그림 ; 김희경 옮김,키다리,2008
281,따르릉 여보세요,마쓰타니 미요코 글 ; 이와사키 치히로 그림 ; [임은정 역],프로메테우스,2007
